workspace,milestone_id,title,category,is_graded,patch_src_loc,patch_total_loc,src_additions,src_deletions,all_additions,all_deletions,touched_src_files,touched_test_files,srs_word_count,dag_topological_position,dag_position_fraction,dag_layer,dag_layer_fraction,dag_indegree,dag_outdegree,raw_fail_to_pass,raw_none_to_pass,raw_pass_to_pass,invalid_fail_to_pass,invalid_none_to_pass,invalid_pass_to_pass,effective_fail_to_pass,effective_none_to_pass,effective_pass_to_pass,effective_functional_tests,effective_total_tests,intrinsic_difficulty_raw,continuous_difficulty_raw,intrinsic_difficulty_score,continuous_difficulty_score,difficulty_band,independent_n_models,independent_pass_rate,independent_mean_recall,independent_mean_precision,independent_mean_score,e2e_observed_models,e2e_resolved_sum,e2e_score_sum,e2e_conditional_pass_rate,e2e_conditional_mean_score,e2e_expected_models,e2e_coverage,e2e_all_model_pass_rate,e2e_all_model_mean_score,log1p_patch_src_loc,difficulty_tail
apache_dubbo_dubbo-3.3.3_dubbo-3.3.6,M003.3,Mutiny Calls Handlers and Code Generator,Feature,True,543,543,543,0,543,0,7,0,1595,3,0.1666666666666666,2,1.0,1,0,18,5,6930,0,4,2,18,1,6928,19,6947,0.5565871488263742,0.5547229215491276,55.57,55.55,central,10,0.1,0.19473684210526315,0.2047377428790806,0.1972972972972973,25.0,0.0,1.3944696747133871,0.0,0.055778786988535486,26,0.9615384615384616,0.0,0.05363344902743797,6.298949246855942,almost_never_solved
apache_dubbo_dubbo-3.3.3_dubbo-3.3.6,M004,Enhanced Server-Sent Events (SSE) Support,Feature,True,497,522,452,45,477,45,13,0,873,4,0.25,0,0.0,0,1,2,17,6902,2,16,6,0,1,6896,1,6897,0.3124972556449183,0.1218329836655928,53.12,51.22,central,10,0.0,0.0,0.0004902932330682389,0.0,25.0,0.0,0.5714285714285715,0.0,0.02285714285714286,26,0.9615384615384616,0.0,0.02197802197802198,6.210600077024653,almost_never_solved
apache_dubbo_dubbo-3.3.3_dubbo-3.3.6,M001.1,Spring Security OAuth2 Serialization Support,Platform,True,500,500,496,4,496,4,12,0,1571,5,0.3333333333333333,1,0.5,1,1,0,4,6911,0,0,12,0,4,6899,4,6903,0.3874431251876087,0.3355991881574232,53.87,53.36,central,10,0.0,0.05,0.060557796633746,0.05,24.0,0.0,0.8938461538461537,0.0,0.03724358974358974,26,0.9230769230769231,0.0,0.03437869822485207,6.2166061010848646,almost_never_solved
apache_dubbo_dubbo-3.3.3_dubbo-3.3.6,M001.2,Spring 6 Security Module Split and UTF-8 Standardization,Platform,True,385,448,337,48,400,48,28,0,551,6,0.4166666666666667,2,1.0,1,0,0,38,6890,27,8,6,0,3,6884,3,6887,0.172918836071528,0.3249912554680401,51.73,53.25,central,10,0.0,0.0,0.016247513262599468,0.0,24.0,0.0,0.12138728323699423,0.0,0.0050578034682080926,26,0.9230769230769231,0.0,0.004668741662961317,5.955837369464831,almost_never_solved
apache_dubbo_dubbo-3.3.3_dubbo-3.3.6,M006,RadixTree Multi-Method REST Path Routing Fix,Feature,True,175,222,171,4,218,4,6,0,779,7,0.5,0,0.0,0,0,2,6,6914,0,6,6,2,0,6908,2,6910,-0.4426053088643482,-0.4050851640085733,45.57,45.95,central,10,0.8,0.9,0.875049115913556,0.8857142857142858,25.0,8.0,11.487782305304208,0.32,0.4595112922121683,26,0.9615384615384616,0.3076923076923077,0.4418377809732388,5.170483995038151,almost_always_solved
apache_dubbo_dubbo-3.3.3_dubbo-3.3.6,M011,Logging FQCN Infrastructure Enhancement,Quality,True,271,271,193,78,193,78,9,0,1438,8,0.5833333333333334,0,0.0,0,0,0,11,6923,6,0,6,0,5,6917,5,6922,-0.060107031257471,-0.0839394003370289,49.4,49.16,central,10,1.0,1.0,1.0,1.0,22.0,6.0,9.9164108254329,0.2727272727272727,0.45074594661058637,26,0.8461538461538461,0.23076923076923078,0.38140041636280386,5.605802066295998,almost_always_solved
apache_dubbo_dubbo-3.3.3_dubbo-3.3.6,M016.1,RPC and Remoting Bug Fixes,Quality,True,496,499,337,159,338,161,40,0,975,9,0.6666666666666666,0,0.0,0,2,0,6,6915,0,0,4,0,6,6911,6,6917,0.4073995391290299,0.3054284753654243,54.07,53.05,central,10,0.1,0.6,0.5375898258962775,0.5666666666666667,24.0,3.0,11.9711988717138,0.125,0.49879995298807495,26,0.9230769230769231,0.11538461538461539,0.4604307258351461,6.208590026096629,almost_never_solved
apache_dubbo_dubbo-3.3.3_dubbo-3.3.6,M017,Code Merge and Branch Integration,Maintenance,True,239,242,193,46,193,49,23,0,1518,10,0.75,0,0.0,0,0,1,3,6923,0,3,13,1,0,6910,1,6911,-0.2392059539538167,-0.176702994324012,47.61,48.23,central,10,0.6,1.0,0.6569298245614035,0.6970588235294117,23.0,2.0,4.537549407114625,0.08695652173913043,0.19728475683107066,26,0.8846153846153846,0.07692307692307693,0.1745211310428702,5.480638923341991,middle
apache_dubbo_dubbo-3.3.3_dubbo-3.3.6,M018,Performance Optimizations,Quality,True,110,110,61,49,61,49,5,0,689,11,0.8333333333333334,1,0.5,1,0,0,6,6886,0,0,6,0,6,6880,6,6886,-0.7264860017427635,-0.4057149326600597,42.74,45.94,central,10,1.0,1.0,1.0,1.0,24.0,2.0,6.689536114295794,0.08333333333333333,0.2787306714289914,26,0.9230769230769231,0.07692307692307693,0.2572898505498382,4.709530201312334,almost_always_solved
apache_dubbo_dubbo-3.3.3_dubbo-3.3.6,M019,Feature Enhancements - Minor Additions,Feature,True,445,454,282,163,291,163,27,0,757,12,0.9166666666666666,0,0.0,0,0,0,6,6910,0,0,13,0,6,6897,6,6903,0.3253267381624673,0.3083475944445811,53.25,53.08,central,10,0.5,0.8,0.5067117440766864,0.5118227473535051,20.0,1.0,3.465375187142565,0.05,0.17326875935712824,26,0.7692307692307693,0.038461538461538464,0.1332836610439448,6.100318952020064,middle
